variant	experiment	code_rls	antenna_code	rls_num	model_time	zond_num	kt_num	track_num	azimuth	slange_range	elevation	radial_velocity
1	1	1	1	3	1.381055	-1761625248	0	0	0.8679700233731954	190657.7693453863	0.0413737090372976	-285.6594523931097
1	1	1	1	3	1.396655	-1778410656	0	0	0.8739997768326959	337016.9035441032	0.009563506806249058	-262.1666144397008
1	1	1	1	3	11.396895	-1778410656	0	0	0.8730891201361916	334213.338289239	0.01040371016170273	-274.4585466204495
1	1	1	1	3	11.381295	-1761625248	0	0	0.8692355943450584	187866.4846515468	0.04165085143564086	-280.6767829871769
1	1	1	1	3	21.394562	1946147680	0	1	0.875182164970203	331423.6836602984	0.01087527592344558	-280.1535007436013
1	1	1	1	3	21.384135	1946147680	0	2	0.8697488874010242	185072.6683924152	0.04151220483188326	-283.1518041212803
1	1	1	1	3	31.394802	-1761625248	0	1	0.8772909454507222	328627.6248010178	0.01497436973642758	-248.7336860533979
1	1	1	1	3	31.384402	-1795196064	0	2	0.8718149194988223	182276.4738662588	0.0432465730951343	-282.2625487917637
1	1	1	1	3	41.395042	-1778410656	0	1	0.8776221950644184	325834.5714437398	0.01145410842900175	-260.5583663487345
1	1	1	1	3	41.38464199999999	-1778410656	0	2	0.8716169492113434	179491.6048937537	0.04402336131884944	-278.6811588543613
1	1	1	1	3	51.39528199999999	-1761625248	0	1	0.8753732125919319	323034.8302499498	0.01311170143599082	-286.4686722455497
1	1	1	1	3	51.387482	-1786803360	0	2	0.8725751811875044	176697.4949749809	0.04403387417307452	-283.5714559428343
1	1	1	1	3	61.39292199999999	1946147680	0	1	0.8728497701012397	320236.2734293723	0.0118262224974857	-280.7137317397876
1	1	1	1	3	61.387722	1946147680	0	2	0.8709206647575221	173907.3492039799	0.04681136256867517	-280.8623849320887
1	1	1	1	3	71.39316199999999	-1761625248	0	1	0.876302406103136	317456.1431921899	0.01178200801921971	-287.6731316756506
1	1	1	1	3	71.38796199999999	-1761625248	0	2	0.8723133760636408	171114.570489558	0.04712584552080904	-281.3537689372813
1	1	1	1	3	81.39340199999999	-1770017952	0	1	0.8745751837609133	314658.5185059604	0.01100090843490861	-241.9424505066187
1	1	1	1	3	81.38820199999999	-1770017952	0	2	0.8717567159617402	168321.7984371966	0.04812314780755681	-280.4281569904134
1	1	1	1	3	91.39366899999999	-1744839840	0	1	0.8758375460483114	311868.5965346597	0.01555717694972978	-297.6088759042617
1	1	1	1	3	91.38846899999999	-1744839840	0	2	0.8730672589113958	165528.2307397913	0.04994467486216077	-278.6315834780853
1	1	1	1	3	101.388709	-1770017952	0	2	0.8733858722099253	162737.850905654	0.05143416315600761	-280.8798167117022
