var	exp	num_vo	type_vo	pap	model_time	zond_num	latitude	longitude	altitude	pitch_ange	yaw_angle	roll_angle	pitch_vel	yaw_vel	roll_vel	X	Y	Z	Vx	Vy	Vz	Ax	Ay	Az
1	1	1	-1	-1	0.000348	-1	0.9944814388333783	0.76093613542185	10000.00000090245	0	0	0	0	0	0	2526951.533548494	2406251.31128698	5333046.596180584	257.1519286847785	-47.85046335966769	-99.91605788740736	-6.922143577839961e-06	-2.450213948750843e-05	-6.128213284639514e-06
1	1	2	-1	-1	0.000348	-1	1.008029238392864	0.7952164024973141	10000.00000137836	0	0	0	0	0	0	2391946.802473145	2439383.482656941	5379734.993204052	258.4388104301473	-66.17031465429682	-85.03452377777791	-8.251107337391658e-06	-2.641870801696541e-05	-4.637939165532999e-06
1	1	1	-1	-1	0.101775	-1	0.9944785354619464	0.7609299735421527	10000.00007312	0	0	0	0	0	0	2526977.626792006	2406246.468463332	5333036.485556952	257.1962284948412	-47.80888417658016	-99.82180222935399	-0.002024428628260523	-0.007165819673394167	-0.00179223823863272
1	1	2	-1	-1	0.101775	-1	1.008026723901301	0.7952095488287042	10000.00021573715	0	0	0	0	0	0	2391973.037653606	2439376.794096325	5379726.419204332	258.528796298469	-66.07914318661447	-84.83114760324305	-0.002413093245008724	-0.007726333357547858	-0.001356397294747474
1	1	1	-1	-1	0.203202	-1	0.9944756320730538	0.7609238117173994	10000.00027140137	0	0	0	0	0	0	2527003.720035519	2406241.625639684	5333026.374933319	257.240528304904	-47.76730499349266	-99.72754657130064	-0.004041935112943206	-0.01430713720730083	-0.003578348263980801
1	1	2	-1	-1	0.203202	-1	1.008024209388443	0.7952026952146292	10000.00055613182	0	0	0	0	0	0	2391999.272834069	2439370.105535708	5379717.845204613	258.6187821667907	-65.98797171893213	-84.62777142870821	-0.004817935382680057	-0.01542624800707875	-0.002708156650329415
1	1	1	-1	-1	0.304629	-1	0.9944727286877563	0.7609176499143142	10000.00043486618	0	0	0	0	0	0	2527029.813213906	2406236.782593691	5333016.264248115	257.260696895402	-47.74902328398506	-99.68432475788005	-0.004969980407316122	-0.01726905324246622	-0.004554491665896645
1	1	2	-1	-1	0.304629	-1	1.008021694880017	0.7951958416220583	10000.00086175371	0	0	0	0	0	0	2392025.507937678	2439363.416735537	5379709.271156615	258.6599834706607	-65.94687767903802	-84.53414856083623	-0.005893514852143153	-0.01861278687133537	-0.003513214273008541
1	1	1	-1	-1	0.406056	-1	0.9944698253030356	0.7609114881376663	10000.00058657862	0	0	0	0	0	0	2527055.906336502	2406231.939357227	5333006.153510165	257.2601934469978	-47.75069938385695	-99.68482115019495	-0.004964737433843821	-0.01665067984641205	-0.004836776164237799
1	1	2	-1	-1	0.406056	-1	1.008019180372335	0.7951889880557258	10000.00115566142	0	0	0	0	0	0	2392051.742975449	2439356.727730153	5379700.697067259	258.6593934174272	-65.94868252921394	-84.53454599802582	-0.005830379822955183	-0.01793293682129252	-0.003849939184190369
1	1	1	-1	-1	0.50751	-1	0.9944669211307881	0.7609053247712452	10000.00084047671	0	0	0	0	0	0	2527082.006395442	2406227.094800758	5332996.040070466	257.2596899321774	-47.75236796445127	-99.68532131051967	-0.00495966568540066	-0.01605251168666606	-0.005109837412605244
1	1	2	-1	-1	0.50751	-1	1.008016665177437	0.7951821327150873	10000.00155176781	0	0	0	0	0	0	2392077.98498582	2439350.03691109	5379692.120686981	258.6588040175894	-65.95047912124194	-84.5349478683863	-0.005769321065006227	-0.01727539929373986	-0.004175607389895026
1	1	1	-1	-1	0.608937	-1	0.9944640177492972	0.7608991630441976	10000.00092064217	0	0	0	0	0	0	2527108.099387318	2406222.251149292	5332985.929193967	257.2591873967846	-47.75393648609896	-99.68586680740705	-0.004956754056976893	-0.01570924515941656	-0.005266541583844066
1	1	2	-1	-1	0.608937	-1	1.008014150673794	0.7951752791979627	10000.00177422632	0	0	0	0	0	0	2392104.219872293	2439343.347459257	5379683.546482994	258.6582249102147	-65.95216595142796	-84.53540374930679	-0.005734454292642162	-0.01689933728230718	-0.004361794346478343
1	1	1	-1	-1	0.710364	-1	0.9944611143503461	0.7608930013720914	10000.00112687424	0	0	0	0	0	0	2527134.192379194	2406217.407497826	5332975.818317468	257.2586848613918	-47.75550500774664	-99.68641230429444	-0.004953842428553125	-0.01536597863216706	-0.005423245755082888
1	1	2	-1	-1	0.710364	-1	1.008011636148857	0.7951684257353706	10000.00212271325	0	0	0	0	0	0	2392130.454758766	2439336.658007423	5379674.972279007	258.65764580284	-65.95385278161397	-84.53585963022728	-0.005699587520278097	-0.01652327527087451	-0.00454798130306166
1	1	1	-1	-1	0.8117909999999999	-1	0.9944582109537986	0.7608868397235345	10000.00127708632	0	0	0	0	0	0	2527160.285297662	2406212.563625215	5332965.707357472	257.2581827294878	-47.75702567292377	-99.68697964596586	-0.004951035919867554	-0.01503636205285659	-0.005573711198863648
1	1	2	-1	-1	0.8117909999999999	-1	1.008009121626917	0.7951615722961225	10000.00241524447	0	0	0	0	0	0	2392156.6895614	2439329.968317909	5379666.398003931	258.6570715515984	-65.95548731714898	-84.53634140947638	-0.005666145537205554	-0.01616289563544825	-0.004726442197801833
1	1	1	-1	-1	0.913218	-1	0.9944553075525326	0.760880678109782	10000.00143656414	0	0	0	0	0	0	2527186.378169043	2406207.71961075	5332955.596343916	257.2576808564029	-47.75851564044162	-99.68756100003166	-0.004948296840515432	-0.0147155012686702	-0.005720174794454094
